,Genre,Tags,Positive Reviews,Negative Reviews,Copies Sold,Positive Percentage
98,Strategy,Strategy,112,26,50000-100000,0.8115942028985508
99,Strategy,Strategy,451,108,100000-200000,0.8067978533094812
100,Strategy,Strategy,490,152,100000-200000,0.7632398753894081
101,Strategy,Simulation,137,102,20000-50000,0.5732217573221757
102,Strategy,Strategy,137,102,20000-50000,0.5732217573221757
103,Strategy,Strategy,191,85,50000-100000,0.6920289855072463
104,Strategy,Space,191,85,50000-100000,0.6920289855072463
105,RPG,RPG,671,106,100000-200000,0.8635778635778636
106,Strategy,Strategy,498,238,1000000-2000000,0.6766304347826086
107,Strategy,RTS,498,238,1000000-2000000,0.6766304347826086
108,RPG,RPG,2656,1055,1000000-2000000,0.7157100511991377
109,RPG,Open World,2656,1055,1000000-2000000,0.7157100511991377
110,Action,RPG,4386,316,1000000-2000000,0.9327945555082944
111,Action,Action,4386,316,1000000-2000000,0.9327945555082944
112,RPG,RPG,4386,316,1000000-2000000,0.9327945555082944
113,RPG,Action,4386,316,1000000-2000000,0.9327945555082944
114,Action,FPS,1362,66,200000-500000,0.9537815126050421
115,Action,Action,1362,66,200000-500000,0.9537815126050421
116,Action,FPS,891,171,200000-500000,0.8389830508474576
117,Action,Action,891,171,200000-500000,0.8389830508474576
118,Action,FPS,1773,87,200000-500000,0.9532258064516129
119,Action,Action,1773,87,200000-500000,0.9532258064516129
120,Action,FPS,3705,257,500000-1000000,0.9351337708228168
121,Action,Action,3705,257,500000-1000000,0.9351337708228168
122,Action,FPS,573,82,200000-500000,0.8748091603053435
123,Action,Action,573,82,200000-500000,0.8748091603053435
124,Action,FPS,2517,182,500000-1000000,0.9325676176361616
125,Action,Action,2517,182,500000-1000000,0.9325676176361616
126,Action,FPS,2618,136,200000-500000,0.9506172839506173
127,Action,Action,2618,136,200000-500000,0.9506172839506173
128,Action,FPS,1369,107,200000-500000,0.9275067750677507
129,Action,Action,1369,107,200000-500000,0.9275067750677507
130,Action,Action,65,12,200000-500000,0.8441558441558441
131,Action,FPS,65,12,200000-500000,0.8441558441558441
132,Action,Action,54,33,200000-500000,0.6206896551724138
133,Action,FPS,54,33,200000-500000,0.6206896551724138
134,Action,Action,108,31,200000-500000,0.7769784172661871
135,Action,FPS,108,31,200000-500000,0.7769784172661871
136,Action,Action,249,26,200000-500000,0.9054545454545454
137,Action,FPS,249,26,200000-500000,0.9054545454545454
138,Action,Action,57,20,100000-200000,0.7402597402597403
139,Action,FPS,57,20,100000-200000,0.7402597402597403
140,Action,Action,417,29,200000-500000,0.9349775784753364
141,Action,FPS,417,29,200000-500000,0.9349775784753364
142,Action,Multiplayer,4819,792,1000000-2000000,0.8588486900730707
143,Action,Indie,4819,792,1000000-2000000,0.8588486900730707
144,Action,Action,4819,792,1000000-2000000,0.8588486900730707
145,Indie,Multiplayer,4819,792,1000000-2000000,0.8588486900730707
146,Indie,Indie,4819,792,1000000-2000000,0.8588486900730707
147,Indie,Action,4819,792,1000000-2000000,0.8588486900730707
148,RPG,Multiplayer,4819,792,1000000-2000000,0.8588486900730707
149,RPG,Indie,4819,792,1000000-2000000,0.8588486900730707
150,RPG,Action,4819,792,1000000-2000000,0.8588486900730707
151,Action,Action,662,204,100000-200000,0.7644341801385681
152,Action,Multiplayer,662,204,100000-200000,0.7644341801385681
153,Action,FPS,662,204,100000-200000,0.7644341801385681
154,Action,Action,973,248,500000-1000000,0.7968877968877969
155,Casual,Casual,52,46,50000-100000,0.5306122448979592
156,Casual,Indie,52,46,50000-100000,0.5306122448979592
157,Indie,Casual,52,46,50000-100000,0.5306122448979592
158,Indie,Indie,52,46,50000-100000,0.5306122448979592
159,Action,Action,610,523,200000-500000,0.5383936451897617
160,Action,FPS,610,523,200000-500000,0.5383936451897617
161,Action,RPG,6161,362,500000-1000000,0.9445040625479074
162,Action,Action,740,87,50000-100000,0.8948004836759371
163,Action,Open World,740,87,50000-100000,0.8948004836759371
164,Action,FPS,1555,117,200000-500000,0.9300239234449761
165,Action,Action,1555,117,200000-500000,0.9300239234449761
166,Action,Action,2434,236,200000-500000,0.9116104868913858
167,Action,FPS,2434,236,200000-500000,0.9116104868913858
168,Action,Action,490,97,200000-500000,0.8347529812606473
169,Action,FPS,490,97,200000-500000,0.8347529812606473
170,Action,Action,180,33,20000-50000,0.8450704225352113
171,Action,Strategy,180,33,20000-50000,0.8450704225352113
172,Action,RTS,180,33,20000-50000,0.8450704225352113
173,Action,Strategy,31,9,20000-50000,0.775
174,Action,Action,31,9,20000-50000,0.775
175,Action,Indie,31,9,20000-50000,0.775
176,Indie,Strategy,31,9,20000-50000,0.775
177,Indie,Action,31,9,20000-50000,0.775
178,Indie,Indie,31,9,20000-50000,0.775
179,Strategy,Strategy,31,9,20000-50000,0.775
180,Strategy,Action,31,9,20000-50000,0.775
181,Strategy,Indie,31,9,20000-50000,0.775
182,Action,Action,145,77,20000-50000,0.6531531531531531
183,Action,Simulation,145,77,20000-50000,0.6531531531531531
184,Strategy,Space,212,50,200000-500000,0.8091603053435115
185,Strategy,Strategy,212,50,200000-500000,0.8091603053435115
186,Strategy,Simulation,212,50,200000-500000,0.8091603053435115
187,Strategy,Space,282,113,200000-500000,0.7139240506329114
188,Strategy,Simulation,282,113,200000-500000,0.7139240506329114
189,Strategy,Strategy,282,113,200000-500000,0.7139240506329114
190,Action,Space,1633,272,500000-1000000,0.8572178477690289
191,Action,Simulation,1633,272,500000-1000000,0.8572178477690289
192,Simulation,Space,1633,272,500000-1000000,0.8572178477690289
193,Simulation,Simulation,1633,272,500000-1000000,0.8572178477690289
194,Strategy,Space,1633,272,500000-1000000,0.8572178477690289
195,Strategy,Simulation,1633,272,500000-1000000,0.8572178477690289
196,Simulation,Simulation,142,48,200000-500000,0.7473684210526316
197,Simulation,Space,142,48,200000-500000,0.7473684210526316
198,Simulation,Strategy,142,48,200000-500000,0.7473684210526316
199,Strategy,Simulation,142,48,200000-500000,0.7473684210526316
200,Strategy,Space,142,48,200000-500000,0.7473684210526316
201,Strategy,Strategy,142,48,200000-500000,0.7473684210526316
202,Simulation,Simulation,57,18,20000-50000,0.76
203,Simulation,Strategy,57,18,20000-50000,0.76
204,Simulation,Space,57,18,20000-50000,0.76
205,Strategy,Simulation,57,18,20000-50000,0.76
206,Strategy,Strategy,57,18,20000-50000,0.76
207,Strategy,Space,57,18,20000-50000,0.76
208,Action,Space,2832,4032,200000-500000,0.4125874125874126
209,Action,Simulation,2832,4032,200000-500000,0.4125874125874126
210,Simulation,Space,2832,4032,200000-500000,0.4125874125874126
211,Simulation,Simulation,2832,4032,200000-500000,0.4125874125874126
212,Strategy,Strategy,52,17,20000-50000,0.7536231884057971
213,Strategy,Simulation,52,17,20000-50000,0.7536231884057971
214,Strategy,Strategy,127,31,50000-100000,0.8037974683544303
215,Strategy,Simulation,127,31,50000-100000,0.8037974683544303
216,Strategy,Strategy,33,14,20000-50000,0.7021276595744681
